long,lat,survivors,direction,group
24,54.9,340000,advancing,1
24.5,55,340000,advancing,1
25.5,54.5,340000,advancing,1
26,54.7,320000,advancing,1
27,54.8,300000,advancing,1
28,54.9,280000,advancing,1
28.5,55,240000,advancing,1
29,55.1,210000,advancing,1
30,55.2,180000,advancing,1
30.3,55.3,175000,advancing,1
32,54.8,145000,advancing,1
33.2,54.9,140000,advancing,1
34.4,55.5,127100,advancing,1
35.5,55.4,100000,advancing,1
36,55.5,100000,advancing,1
37.6,55.8,100000,advancing,1
37.7,55.7,100000,retreating,1
37.5,55.7,98000,retreating,1
37,55,97000,retreating,1
36.8,55,96000,retreating,1
35.4,55.3,87000,retreating,1
34.3,55.2,55000,retreating,1
33.3,54.8,37000,retreating,1
32,54.6,24000,retreating,1
30.4,54.4,20000,retreating,1
29.2,54.3,20000,retreating,1
28.5,54.2,20000,retreating,1
28.3,54.3,20000,retreating,1
27.5,54.5,20000,retreating,1
26.8,54.3,12000,retreating,1
26.4,54.4,14000,retreating,1
25,54.4,8000,retreating,1
24.4,54.4,4000,retreating,1
24.2,54.4,4000,retreating,1
24.1,54.4,4000,retreating,1
24,55.1,60000,advancing,2
24.5,55.2,60000,advancing,2
25.5,54.7,60000,advancing,2
26.6,55.7,40000,advancing,2
27.4,55.6,33000,advancing,2
28.7,55.5,33000,advancing,2
28.7,55.5,33000,retreating,2
29.2,54.2,30000,retreating,2
28.5,54.1,30000,retreating,2
28.3,54.2,28000,retreating,2
24,55.2,22000,advancing,3
24.5,55.3,22000,advancing,3
24.6,55.8,6000,advancing,3
24.6,55.8,6000,retreating,3
24.2,54.4,6000,retreating,3
24.1,54.4,6000,retreating,3
